run_report,dataset,divisor_size,method,seed,final_objective,total_runtime_sec,evaluation_count,time_to_best_sec,validation_relative_improvement_pct,run_file,validation_file
data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_optimize_20260409T103115Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,bo,30013,0.6778200649423525,11.283276246977039,38,11.283066753007006,32.1979055568136,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_optimize_20260409T103115Z.json?display_name=bo_optimize_20260409T103115Z.json,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103115Z/bo_validate_20260409T103119Z.json?display_name=bo_validate_20260409T103119Z.json
data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_optimize_20260409T103128Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,bo,30013,0.6867381577612832,11.050793747999705,38,9.088678650034126,35.34004208648091,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_optimize_20260409T103128Z.json?display_name=bo_optimize_20260409T103128Z.json,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103128Z/bo_validate_20260409T103131Z.json?display_name=bo_validate_20260409T103131Z.json
data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103143Z/bo_optimize_20260409T103143Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,bo,30013,0.638837195263477,11.27551411400782,38,10.326367518980987,25.095452538783093,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103143Z/bo_optimize_20260409T103143Z.json?display_name=bo_optimize_20260409T103143Z.json,data/experiments/20_dset_20260409T102256Z/bo/optimize_20260409T103143Z/bo_validate_20260409T103147Z.json?display_name=bo_validate_20260409T103147Z.json
data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102346Z/de_optimize_20260409T102346Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,de,30013,0.6385921763139777,54.29922994598746,220,48.51820204698015,42.99822700333918,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102346Z/de_optimize_20260409T102346Z.json?display_name=de_optimize_20260409T102346Z.json,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102346Z/de_validate_20260409T102349Z.json?display_name=de_validate_20260409T102349Z.json
data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102442Z/de_optimize_20260409T102442Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,de,30013,0.6283697384933475,57.4899967770325,220,50.451425401028246,37.27416013956203,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102442Z/de_optimize_20260409T102442Z.json?display_name=de_optimize_20260409T102442Z.json,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102442Z/de_validate_20260409T102445Z.json?display_name=de_validate_20260409T102445Z.json
data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102544Z/de_optimize_20260409T102544Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,de,30013,0.6678674146241974,62.04246106900973,220,23.51221717899898,33.07668775735717,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102544Z/de_optimize_20260409T102544Z.json?display_name=de_optimize_20260409T102544Z.json,data/experiments/20_dset_20260409T102256Z/de/optimize_20260409T102544Z/de_validate_20260409T102547Z.json?display_name=de_validate_20260409T102547Z.json
data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103253Z/ga_optimize_20260409T103253Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,ga,30013,0.6338452550699003,72.83253727800911,316,68.33355823601596,29.25788779794956,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103253Z/ga_optimize_20260409T103253Z.json?display_name=ga_optimize_20260409T103253Z.json,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103253Z/ga_validate_20260409T103256Z.json?display_name=ga_validate_20260409T103256Z.json
data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103402Z/ga_optimize_20260409T103402Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,ga,30013,0.6337851487041917,70.22456851502648,316,68.5884305400541,31.55738144863196,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103402Z/ga_optimize_20260409T103402Z.json?display_name=ga_optimize_20260409T103402Z.json,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103402Z/ga_validate_20260409T103405Z.json?display_name=ga_validate_20260409T103405Z.json
data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103511Z/ga_optimize_20260409T103511Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,ga,30013,0.6284082999569364,70.01438264199533,316,59.09553816099651,27.18611293810057,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103511Z/ga_optimize_20260409T103511Z.json?display_name=ga_optimize_20260409T103511Z.json,data/experiments/20_dset_20260409T102256Z/ga/optimize_20260409T103511Z/ga_validate_20260409T103514Z.json?display_name=ga_validate_20260409T103514Z.json
data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T102752Z/pso_optimize_20260409T102752Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,pso,30013,0.6237591133976821,51.49920085602207,234,23.026786221016664,31.077794962002848,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T102752Z/pso_optimize_20260409T102752Z.json?display_name=pso_optimize_20260409T102752Z.json,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T102752Z/pso_validate_20260409T102755Z.json?display_name=pso_validate_20260409T102755Z.json
data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103009Z/pso_optimize_20260409T103009Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,pso,30013,0.5644450393156148,52.722041922970675,234,43.77194300998235,39.084777877994924,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103009Z/pso_optimize_20260409T103009Z.json?display_name=pso_optimize_20260409T103009Z.json,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103009Z/pso_validate_20260409T103012Z.json?display_name=pso_validate_20260409T103012Z.json
data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103100Z/pso_optimize_20260409T103100Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,pso,30013,0.5919162365025841,50.65992201899644,234,43.52179086499382,38.75319442179918,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103100Z/pso_optimize_20260409T103100Z.json?display_name=pso_optimize_20260409T103100Z.json,data/experiments/20_dset_20260409T102256Z/pso/optimize_20260409T103100Z/pso_validate_20260409T103103Z.json?display_name=pso_validate_20260409T103103Z.json
data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102610Z/rs_optimize_20260409T102610Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,rs,30013,0.7603937604581006,24.340950671990868,60,17.93410541699268,24.281145083942583,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102610Z/rs_optimize_20260409T102610Z.json?display_name=rs_optimize_20260409T102610Z.json,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102610Z/rs_validate_20260409T102613Z.json?display_name=rs_validate_20260409T102613Z.json
data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102634Z/rs_optimize_20260409T102634Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,rs,30013,0.6891930189740378,22.605605706979986,60,16.707614266022574,26.101982135962665,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102634Z/rs_optimize_20260409T102634Z.json?display_name=rs_optimize_20260409T102634Z.json,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102634Z/rs_validate_20260409T102637Z.json?display_name=rs_validate_20260409T102637Z.json
data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102700Z/rs_optimize_20260409T102700Z_report.md?display_name=%F0%9F%93%84,data/numbers/20_dset_20260409T102256Z/train.json?display_name=20_dset_20260409T102256Z,20,rs,30013,0.6858531100733671,22.367099391005468,60,8.578068966977298,29.55607437462332,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102700Z/rs_optimize_20260409T102700Z.json?display_name=rs_optimize_20260409T102700Z.json,data/experiments/20_dset_20260409T102256Z/rs/optimize_20260409T102700Z/rs_validate_20260409T102703Z.json?display_name=rs_validate_20260409T102703Z.json
