group_a,group_b,u_stat,p_raw,p_holm,is_significant,cliffs_delta,effect_size
bo,de,2.0,0.27523352407483426,1.0,False,0.5555555555555556,large
bo,ga,4.0,0.8272593465627114,1.0,False,0.1111111111111111,negligible
bo,pso,4.0,0.8272593465627114,1.0,False,-0.1111111111111111,negligible
bo,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
de,ga,3.0,0.5126907602619233,1.0,False,-0.3333333333333333,medium
de,pso,3.0,0.5126907602619233,1.0,False,-0.3333333333333333,medium
de,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
ga,pso,3.0,0.5126907602619233,1.0,False,-0.3333333333333333,medium
ga,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
pso,rs,0.0,0.049534613435626706,0.49534613435626706,False,-1.0,large
